artist,track,album,tags,duration_ms
A Boogie Wit da Hoodie,4 Min Convo (Favorite Song),Hoodie SZN,Hip-Hop|rap|hip hop,257000
Rod Wave,Chip On My Shoulder,Ghetto Gospel,rap|trap|Hip-Hop,111000
Morgan Wallen,Silverado for Sale,Dangerous: The Double Album,country|country pop|contemporary country,0
David Archuleta,Waiting for Yesterday,David Archuleta (Deluxe),pop|American Idol|male vocalists,207000
Prism,Entweder,Entweder - Single,rock|classic rock|Canadian,207000
The Pussycat Dolls,React,"The Dome, Vol. 94",pop|rnb|dance,262000
YoungBoy Never Broke Again,Murder Business,Tracks from Top,rap|trap|Hip-Hop,132000
Tory Lanez,Poison Ivy,Alone at Prom (Deluxe) [Explicit],rnb|Hip-Hop|rap,187000
Megan Moroney,Noah,Am I Okay?,country|USA|want to see live,211000
Toni Braxton,Make My Heart,Pulse,soul|rnb|female vocalists,207000
Jason Derulo,Breathing,Future History,rnb|pop|male vocalists,233000
Lulu,piu piu,,60s|pop|female vocalists,0
YoungBoy Never Broke Again,FREEDDAWG,FREEDDAWG - Single,rap|trap|Hip-Hop,111000
Polo G,Unapologetic (with NLE Choppa),,rap|Hip-Hop|trap,168000
Adam Lambert,Master Plan,For Your Entertainment (Deluxe Version),pop|rock|glam,201000
Kelsea Ballerini,We Broke Up,PATTERNS [Explicit],country|pop|female vocalists,165000
Cassadee Pope,Over You (The Voice Performance),,pop rock|pop|country,216000
Rod Wave,Poison,Ghetto Gospel,rap|trap|Hip-Hop,195000
Kelsea Ballerini,How Do I Do This,Rolling Up the Welcome Mat (For Good),country|pop|female vocalists,171000
Dion,Reunited,Grove,oldies|doo wop|60s,130000
Nicki Minaj,Whip It,Pink Friday ... Roman Reloaded,Hip-Hop|rap|rnb,199000
A Boogie Wit da Hoodie,D.T.B. (Interlude),Artist,Hip-Hop|rap|hip hop,287000
A Boogie Wit da Hoodie,Skeezers,Hoodie SZN,Hip-Hop|rap|hip hop,198000
Rod Wave,2018,Nostalgia,rap|trap|Hip-Hop,194000
Megan Moroney,Bless Your Heart,Am I Okay? (I'll Be Fine),country|USA|want to see live,163000
Jordin Sparks,S.O.S (Let The Music Play),Essential R&B - Spring 2011,pop|rnb|female vocalists,212000
Connie Francis,Robot Man,Die Liebe Ist Ein Seltsames Spiel,oldies|female vocalists|50s,114000
Dion,Grove Stepper,Grove,oldies|doo wop|60s,177000
PARTYNEXTDOOR & Drake,Right Now,,rnb|Hip-Hop|r&b,0
6ix9ine,TROLLZ (with Nicki Minaj),,Hip-Hop|rap|trap,202000
New Kids On The Block,Big Girl Now,The Block,pop|boybands|80s,209000
The Carters,SALUD!,SALUD!,Hip-Hop|rap|rnb,209000
Iggy Azalea,Started,In My Defense,Hip-Hop|rap|pop,186000
Pop Smoke,Flexin',Flexin',drill|rap|trap,158000
Christina Perri,you are my sunshine,songs for carmella: lullabies & sing-a-longs,pop|female vocalists|singer-songwriter,82000
Lil Durk,India Part II,Apple Music Live: Lil Durk,rap|drill|Hip-Hop,211000
Megan Moroney,Man on the Moon,Am I Okay?,country|USA|want to see live,187000
Faith Evans,White Christmas,A Faithful Christmas,rnb|soul|female vocalists,206000
Dion,Haiku,Grove,oldies|doo wop|60s,136000
Troye Sivan,IN A DREAM,In A Dream (Bonus Track Version),pop|indie pop|indie,229000
Jhene Aiko,2 seconds - Bonus,,rnb|soul|pop,0
Evanescence,Never Go Back,Evanescence,Gothic Rock|rock|female vocalists,267000
